date,input,output,threshold,selected,selected_raw,rejected_sample
2020-07-17,17,9,1695416.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA
2020-12-14,17,9,785757.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA
2021-04-20,114,60,761572.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '515210', '515400', '515170', '516520']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,515210.SH,515400.SH,515170.SH,516520.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513180.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA
2021-05-26,114,60,944319.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159992', '159995', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159992.SZ,159995.SZ,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513180.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA
2021-05-27,114,61,1017032.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513180.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA
2021-05-28,114,62,1091569.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513180.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA|563300.SH:NA
2021-05-31,114,62,952208.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513180.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA|563300.SH:NA
2021-06-03,114,62,931646.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513180.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA|563300.SH:NA
2021-07-01,114,64,837637.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513180.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159755.SZ,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH,513360.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA|563300.SH:NA
2021-07-02,114,64,855257.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159852', '159865', '512980', '159851', '512200', '516510', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513180.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159755.SZ,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,516510.SH,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH,513360.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA|563300.SH:NA
2021-07-21,17,9,873495.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA
2021-08-31,114,67,956084.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513180.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159755.SZ,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159766.SZ,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,159732.SZ,516510.SH,159840.SZ,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH,513360.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA|563300.SH:NA
2021-09-10,114,67,1011177.0,"['518880', '501018', '161226', '159985', '159980', '513100', '513520', '513500', '513030', '513090', '513180', '513330', '510900', '511380', '510500', '159915', '510300', '512100', '159949', '588080', '159967', '510760', '515880', '159981', '512880', '512480', '159870', '512400', '159755', '159992', '159995', '512890', '515220', '159819', '512800', '512690', '515050', '512170', '159869', '512070', '515120', '512010', '510880', '515790', '515980', '512660', '159928', '512710', '515030', '159766', '159852', '159865', '512980', '159851', '512200', '159732', '516510', '159840', '159998', '159825', '512670', '159883', '515210', '515400', '515170', '516520', '513360']","518880.SH,501018.SH,161226.SZ,159985.SZ,159980.SZ,513100.SH,513520.SH,513500.SH,513030.SH,513090.SH,513180.SH,513330.SH,510900.SH,511380.SH,510500.SH,159915.SZ,510300.SH,512100.SH,159949.SZ,588080.SH,159967.SZ,510760.SH,515880.SH,159981.SZ,512880.SH,512480.SH,159870.SZ,512400.SH,159755.SZ,159992.SZ,159995.SZ,512890.SH,515220.SH,159819.SZ,512800.SH,512690.SH,515050.SH,512170.SH,159869.SZ,512070.SH,515120.SH,512010.SH,510880.SH,515790.SH,515980.SH,512660.SH,159928.SZ,512710.SH,515030.SH,159766.SZ,159852.SZ,159865.SZ,512980.SH,159851.SZ,512200.SH,159732.SZ,516510.SH,159840.SZ,159998.SZ,159825.SZ,512670.SH,159883.SZ,515210.SH,515400.SH,515170.SH,516520.SH,513360.SH",513310.SH:NA|159518.SZ:NA|159509.SZ:NA|159502.SZ:NA|513400.SH:NA|513290.SH:NA|520830.SH:NA|159529.SZ:NA|513120.SH:NA|513750.SH:NA|159892.SZ:NA|513190.SH:NA|159605.SZ:NA|513630.SH:NA|159323.SZ:NA|513920.SH:NA|513970.SH:NA|512050.SH:NA|588220.SH:NA|563300.SH:NA
